Company,Contact Address,Specialization,Unnamed: 3,Website,Email
Company,Contact Address,Specialization,,,
"divine India Limited,
Hyderabad","Website: www.divine.com Email:
gobind.baghasingh@divine.com","Specialisation: Software Design & Development, B2B
e-commerce application development",,www.divine.com,gobind.baghasingh@divine.com
"DPS Technologies India Pvt
Ltd, Calcutta","Website: www.dpsindia.com Email:
barman4245@aol.com","Software Development, E-commerce, Data
Processing, Examination Processing, Content
Conversion, CAD, CAE, GIS, 3D modelling/walk-
through, multi-media, simulation",,www.dpsindia.com,barman4245@aol.com
"DRS Infosystems Ltd, Tamil
Nadu","Website: www.drsinfosystems.com Email:
pioneer.group@usa.net","Software development, IT training, Systems
integration, Educational sales",,www.drsinfosystems.com,pioneer.group@usa.net
"DSL Software Ltd.,
Bangalore",Email: walter.schulz@db.com,"Client Server, Intranet/Internet, IBM Mainframe,
Tandem, Core Banking Systems, Electronic Banking,
Custodial Services, Private Banking, Investment
Banking",,,walter.schulz@db.com
"DSQ Software Limited,
Chennai","Website: www..dsqworld.com Email:
crkannan@md.in.dsqsoft.com","Onsite Services, Systems Integration, Packaged
Software, Training, Offshore Maintenance, Turnkey
Projects, Data Capture, Data Conversion, Data
Processing",,www..dsqworld.com,crkannan@md.in.dsqsoft.com
"DSS Infotech Pvt. Ltd., Pune","Website: www.dssinfotech.com Email:
rks@dss.co.in","Manufacturing, Service Industry, Insurance",,www.dssinfotech.com,rks@dss.co.in
"Duncan Infotech, Hyderabad","Website:www.duncaninfotech.com Email:
pkm@duncaninfotech.com","ERP / MRP Solutions, E-commerce / EDI / Web
Technologies/ Intranet / Internet, Euro Currency
Solutions, Healthcare Software Solutions",,www.duncaninfotech.com,pkm@duncaninfotech.com
"Dusk Valley Technologies
Ltd, Gurgaon","Website: www.duskvalley.com Email:
raajak@duskvalley.com","Software development & integration, onsite
development for software, offshore development,
application design, multimedia",,www.duskvalley.com,raajak@duskvalley.com
"E B C Publishing Pvt. Ltd.,
Lucknow",Email: eastern@lw1.vsnl.net.in,"Legal Databases, Case-Law Research Tools, Legal
Transcription",,,eastern@lw1.vsnl.net.in
"e Three R Info Systems Pvt
Ltd, New Delhi","Website: www.e3r.net Email:
atulgupta@e3r.net","Call/contact centre, back office operations, call centre
training, manpower resourcing",,www.e3r.net,atulgupta@e3r.net
"Eastern Software Systems
Ltd., New Delhi","Website: www.ebizframe.com Email:
ess@essmail.com","Application Software Products like ERP, Hospital
Management, Distribution",,www.ebizframe.com,ess@essmail.com
"e-biz Concepts (India) ltd,
Ahmedabad","Website: www.e-bizconcepts.com Email:
mayurkamdar@e-bizconcepts.com","E-Commerce Training, Software Exports, Overseas
Job Placement, Software Services",,www.e-bizconcepts.com,mayurkamdar@e-bizconcepts.com
"E-Brahma Technologies (P)
Ltd., Coimbatore","Website: www.e-brahma.com Email:
ebrahma@vsnl.com","E-Commerce, System Integration, Consultancy,
Product Support",,www.e-brahma.com,ebrahma@vsnl.com
"Eclipse Systems Pvt. Ltd.,
Noida","Website: www.eclsys.com Email:
mksinghal@eclsys.com","Application and systems programming, RBDMS
Application Development, Building Websites,
Microsoft Windows Programming, Multimedia
Application Development, Engineering Drawings",,www.eclsys.com,mksinghal@eclsys.com
"Ecom Server India (P) Ltd,
Hyderabad","Website: www.ecomserver.com Email:
pnsuresh@ecomserver.com","Call centre solutions, M commerce, E Commece,
Middleware, EAI & application development",,www.ecomserver.com,pnsuresh@ecomserver.com
"Ecomenable Pvt Ltd, Baroda","Website: www.ecomenable.com Email:
ashisht@ecomenable.com","Encryption & Digital Signatures, Digital Web & WAP
Cetification, PKI Products, PKI Service",,www.ecomenable.com,ashisht@ecomenable.com
"EDS - Electronic Data
Systems (India) Private
Limited, Gurgaon","Website: www.eds.com Email:
anjali.jain@eds.com","Comprehensive integrated solutions, Program and
risk management, Onshore/Offshore project
execution for mainframes and open systems,
Maintenance and production support, Y2K and Euro
currency solutions, Migration projects",,www.eds.com,anjali.jain@eds.com
Edutech Information India,Website: www.informaticsgroup.com Email:,"IT Training, Software Development & Consultancy",,www.informaticsgroup.com,
"Ltd., New Delhi",d_bajaj@informatics.co.in,,,,
"e-enable Technologies Pvt
Ltd, New Delhi","Website: www.safewayindia.com Email:
info@safewayindia.com","Groupware Solutions (Lotus notes Domino, CRP
Solutions, AS/400 (Training), Authorized Training on
IBM & Lotus Products",,www.safewayindia.com,info@safewayindia.com
Company,Contact Address,Specialization,,,
"eFunds International Private
Limited, Mumbai","Website: www.efunds.com Email:
raju.bhatnagar@in.efunds.com","Banking, IT Enabled Services",,www.efunds.com,raju.bhatnagar@in.efunds.com
"e-Infochips Pvt. Ltd.,
Ahmedabad","Website: www.einfochips.com Email:
info@einfochips.com","eBusiness / eCommerce : Web centric solutions,
Internet / intranet / extranet applications, Web design
services / portal side development, ASIC design
services, GIS based decision support systems",,www.einfochips.com,info@einfochips.com
"EKnowVenture Technologies
Pvt Ltd, Bangalore","Website: www.eknowventure.com Email:
info@eknowventure.com","Business Intelligence, eBusiness Application
development, Enterprise application Integration",,www.eknowventure.com,info@eknowventure.com
"Electronics Corporation of
Tamil Nadu Limited, Chennai","Website: www.elcot.com Email:
elcot@giasmd01.vsnl.net.in","Facilitation and consultancy for IT projects, Data
capture services like voter ID card, Family card etc.,
Turnkey projects, Training",,www.elcot.com,elcot@giasmd01.vsnl.net.in
"Elgi Software Ltd.,
Coimbatore","Website: www.elgisoftware.com Email:
elgisoft@el.jet.co.in","Textile ERP Package, Customised Software Projects,
E-Commerce Projects, Onsite and Offshore, Turnkey
Software Project Development and Implementation",,www.elgisoftware.com,elgisoft@el.jet.co.in
"Elind Computers Ltd,
Bangalore","Website: www.elind-india.com Email:
elindev@elind-india.com","Financial B2B exchange solutions, generic B2B
solutions, securities trading systems",,www.elind-india.com,elindev@elind-india.com
"Emcure Infotech Ltd, Pune","Website: www.emcureinfotech.com Email:
krishna@emcureinfotech.com","Web-based application development for project &
product develoment, Java, EJB, JINI, J2ME, Mobile
application, Database-Oracle, SQL,DB2, Application
server, Web-logic, Web-sphere, O/S, MS-NT/2000,
Unix",,www.emcureinfotech.com,krishna@emcureinfotech.com
"Emerson Network Power
(India) Pvt Ltd, Mumbai","Website: www.tataliebert.com Email:
ceo_office@tataliebert.com","Embedded Software, Microprocessor & DSP
Programming, Software Testing",,www.tataliebert.com,ceo_office@tataliebert.com
"eMR Technology Ventures
Pvt. Ltd., Gurgaon","Website: www.emrtechventures.com Email:
rohit@emrtechventures.com","Business Process Outsourcing, Software
Development, Outsourced Call Centre, Systems
Integration",,www.emrtechventures.com,rohit@emrtechventures.com
"Encodex Technologies
(India) Pvt. Ltd., Pune","Website: www.encodexindia.com Email:
pradnya@encodexindia.com","Microsoft n-tier, DNA solutions, VB.Net, ASP.Net, Net
solutions, Java expertise in J2EE, EJB, Swing, RMI,
Enterprise WAP solutions & WAP gateway
implementation",,www.encodexindia.com,pradnya@encodexindia.com
"Enlink Infotech Pvt Ltd,
Mumbai","Website: www.enlinkit.com Email:
information@enlinkit.com","Customer interaction services, Business Process
Outsourcing, GIS Services, Data Management,
CAD/CAE Services, IT Solutions",,www.enlinkit.com,information@enlinkit.com
"Entcomm (Asia) Pvt. Ltd.,
Chennai","Website: www.entcomm.com Email:
nprasadh@entcomm.com","B2B Solutions, E-Commerce Solutions",,www.entcomm.com,nprasadh@entcomm.com
"Eonour Software Ltd.,
Chennai","Website: www.eonoursoftware.com Email:
rkarthik@eonoursoftware.com","E-commerce solutions, Free backbone for B2B and
B2C, Web Hosting, Network Security",,www.eonoursoftware.com,rkarthik@eonoursoftware.com
"Epicenter Technologies Pvt
Ltd Mumbai","Website: www.epicentertechnology.com
Email: kvjayrao@epicentertechnology.com","Financial services, Telecom, Banking, IT Services",,www.epicentertechnology.com,kvjayrao@epicentertechnology.com
"Escosoft Technologies Ltd.,
New Delhi","Website: www.escosoft-tech.com Email:
admehta@vsnl.com","ERP Implementation, Enterprise Management
Solutions, E-Commerce, IT Enabled Services",,www.escosoft-tech.com,admehta@vsnl.com
"ESN Technologies (I) Pvt
Ltd, Hyderabad","Website: www.esntechnologies.com Email:
usha@esntechnologies.com","Internet applications, Wireless/Emabedded Systems,
Enterprise solutions, CAD/CAM/ Engineering
Applications",,www.esntechnologies.com,usha@esntechnologies.com
"eSoft Consulting Ltd,
Hyderabad","Website: www.consultesoft.com Email:
ramakanth@consulesoft.com","Telecommunication, eBusiness, Customer application
development, facility management",,www.consultesoft.com,ramakanth@consulesoft.com
"Esols Worldwide Ltd.,
Mumbai","Website: www.esolsww.com. Email:
ajaykanoria@hotmail.com","E- Business Solutions, Customised Applications
Development, Multimedia Services, Onsite
Contracting/Staffing, Systems Integartion,I.T Training,",,www.esolsww.com.,ajaykanoria@hotmail.com
,,"Software Development,Internet & E- Commerce",,,
"eSpace Technologies
Pvt.Ltd., Chennai","Website: www.espacetech.com Email:
chandra@espacetech.com","E-Commerce Architecture, e-Commerce
Development & Integration, e-Commerce Security &
Network Consulting, E-Commerce Managed Web
Hosting",,www.espacetech.com,chandra@espacetech.com
Company,Contact Address,Specialization,,,
"ESPL Systems Private
Limited, New Delhi",Email: cmd@eelindia.com,"Expertise on Unix, R & D on Microprocessor based
packaging machines, Engineering and Manufacturing",,,cmd@eelindia.com
"Essar Information
Technology Ltd., Surat (DT)","Website: www.essarinfotech.com Email:
rdhariwal@essar.com","ERP, Systems integration, Manpower outsourcing",,www.essarinfotech.com,rdhariwal@essar.com
"Essel Software & Services
Ltd., Hyderabad","Website: www.esselsoft.com Email:
srini@esselsoft.com","Vertical Application Development, E-Commerce
Applications, Customised Software Development,
ERP Packages Development and Implementation",,www.esselsoft.com,srini@esselsoft.com
"Esskay Solutions Ltd,
Hyderabad","Website: www.ess-kay.com Email:
suryakvs@hd2.dot.net.in",Data Warehousing,,www.ess-kay.com,suryakvs@hd2.dot.net.in
"Etisbew.com Pvt Ltd,
Hyderabad","Website: www.etisbew.com Email:
bharath@etisbew.com","consultany & projects, Software development, Onsite
services, offshore services",,www.etisbew.com,bharath@etisbew.com
"Euclid India Limited,
Hyderabad","Website: www.euclidnet.com Email:
delip@euclidnet.com","Network Services - planning, design, implementation,
operations and optimization, Setting up Turnkey
Networks for Telco/ ISPs, VOIP, VPN, DSL and cable
based technologies",,www.euclidnet.com,delip@euclidnet.com
"Euro Info Systems Pvt. Ltd.,
Noida","Website: www.euroinfosys.com Email:
asapra@euroinfosys.com","ERP / EBS, Oracle and D2K",,www.euroinfosys.com,asapra@euroinfosys.com
"Eutech Cybernetics (India)
Pvt Ltd, Chennai","Website: www.ecyber.com Email:
cyber@vsnl.com","Healthcare IT, Internet portal development, building
automation, component development",,www.ecyber.com,cyber@vsnl.com
"Excel Infotech Ltd, Gurgaon","Website: www.eilinc.com Email:
gsmaheshwari@usa.net","Software Development, E-Commerce, Medical
Transcription, ISP",,www.eilinc.com,gsmaheshwari@usa.net
"Exel NetCommerce Ltd,
Mumbai",Email: lalitsawhney@hfcl.com,"Financial Services, Consumer goods, Automation",,,lalitsawhney@hfcl.com
"Eximsoft Technologies Pvt.
Ltd., Bangalore","Website: www.eximsoft.com Email:
ram@reliancesystems.com","On Site / Off Shore Services, Training, Consultancy,
Packaged software, Data Conversion",,www.eximsoft.com,ram@reliancesystems.com
"ExlService.Com (I) Pvt. Ltd.,
Noida","Website: www.exlservices.com Email:
vikram.talwar@exlservices.com","Back office process, Web/email based process, Voice
based process",,www.exlservices.com,vikram.talwar@exlservices.com
"EXplora InfoTech Limited,
Ahmedabad","Website: www.xplorainc.com Email:
info@xinfy.com","Systems Integartion, software development, , Smart
card applications,Interactive Information Kiosk",,www.xplorainc.com,info@xinfy.com
"EZCommerce (India)
Limited, Secunderabad","Website: www.dataedgeinc.com Email:
dataedge@hd2.dot.net.in","eBusiness products & Packages, Off-shore services,
eBusiness consultancy & BPR, ERP/CRM SCM
implementation",,www.dataedgeinc.com,dataedge@hd2.dot.net.in
"FCS Software Solutions Ltd,
Noida","Website: www.fcsltd.com Email:
helpdesk@fcsltd.com","Web based application development / E-commerce,
ERP (SAP, Oracle Applications), Porting Projects
(Client Server Architecture), System Programming
(DLL / Data transfer)",,www.fcsltd.com,helpdesk@fcsltd.com
"Fil - Flan Systems, Mumbai","Website: www.fil-flan.com Email:
fritz@vsnl.com","IT Education, SMS Softwares, ICR Software , Web
Solutions",,www.fil-flan.com,fritz@vsnl.com
"Financial Technologies
(India) Ltd., Mumbai","Website: www.ftindia.com Email:
jignesh.shah@ftindia.com","IPR-centric organization and a specialist in deploying
mission-critical, Straight Through Processing
technologies for the global financial services industry,
that includes Equity, Derivatives, Commodity, Forex,
Treasury and Depository operations.",,www.ftindia.com,jignesh.shah@ftindia.com
"First Ring I Pvt. Ltd.,
Bangalore","Website: www.firstring.com Email:
rajdeep.puri@firstring.com","Inbound customer care, eCommerce Customer
Support, Email Processing, Telemarketing &
Consultancy",,www.firstring.com,rajdeep.puri@firstring.com
"Firstware Software
Solutions, Chennai","Website: www.first-ware.com Email:
shyam@first-ware.com","Internet Solutions, Intranet Consultancy, On-Site
Services, Staffing, Training",,www.first-ware.com,shyam@first-ware.com
Ford Business Service,Email: nsathasi@ford.com,"Accounting, Transaction processing, Audit/Internal",,,nsathasi@ford.com
"Center Private limited,
Chennai",,"Control, Call Center",,,
"Freemarkets Services (P)
Ltd, Gurgaon","Website: www.freemarkets.com Email:
rsarin@freemarkets.com","Develop & maintain software applications, Research
& knowledge management, Develop software
solutions",,www.freemarkets.com,rsarin@freemarkets.com
Company,Contact Address,Specialization,,,
"Friendly Advanced Software
Technology (P) Ltd.,
Bangalore","Website: www.nasscom.org/fast Email:
fast@fast.stph.net","Transportation, Distribution and Logistics, E-
commerce, Y2K and Euro Currency Solutions, IBM
AS/400",,www.nasscom.org/fast,fast@fast.stph.net
"Frontlinesoft Ltd., Hyderabad","Website: www.frontlinesoft.com Email:
nasir@frontlinesoft.com","E- Commerce Solutions, Client/Server Computing & 3
tier architecture, Database Design & development,
Geographic Information System (GIS)",,www.frontlinesoft.com,nasir@frontlinesoft.com
"Future Focus Infotech Pvt.
Ltd Chennai","Website: www.focusinfotech.com Email:
suresh@focusinfotech.com","Internet, Intranet & Extranet Deployment, Web
Content Development, Contract Staffing, Training
(Individual and Corporate)",,www.focusinfotech.com,suresh@focusinfotech.com
"Future Software Limited,
Chennai","Website: www.futsoft.com Email:
kramani@future.futsoft.com","Telecommunications, Data Communications,
Embedded Systems Software, Product Engineering",,www.futsoft.com,kramani@future.futsoft.com
"G M Infotech & Systems Pvt
Ltd, Chennai","Website: www.gminfotech.com Email:
kbuhary@gminfotech.com","Consultancy & Projects, Internet & E-Commerce, IT
Training, Software Development",,www.gminfotech.com,kbuhary@gminfotech.com
"Gamma Software Systems
Pvt Ltd, Calcutta","Website: www.gssindia.com Email:
gamma@vsnl.com","Onsite Consulting, Data Bases, E- Commerce,
Networking",,www.gssindia.com,gamma@vsnl.com
"Gate2Biz Pvt Ltd, New Delhi","Website: www.gate2biz.com Email:
amrita@gate2biz.com","B2B e-commerce, e-procurement, e-marketplaces,
catalogue management",,www.gate2biz.com,amrita@gate2biz.com
"GATI Intellect Systems Ltd,
Secunderabad","Website: www.gatiintellect.com Email:
meera@gatiintellect.com","Software Development, Software Migration, Onsite
Consulting, Execution of turnkey projects, Education
and Training",,www.gatiintellect.com,meera@gatiintellect.com
"Gavs Information Service
Pvt. Ltd., Chennai","Website: www.gavsin.com Email:
dharmendra@gavsin.com","Application Reengineering, E-Commerce
Implementation, Corporate Treasury Information
System Development, Mainframe Application Support",,www.gavsin.com,dharmendra@gavsin.com
"GE Capital Services India,
Gurgaon","Website: www.ge.com Email:
gecis.helpline@geind.ge.com","Back Office Operations, Call Centre, Data
Processing, Revenue Accounting, CBT/WBT Content
Development",,www.ge.com,gecis.helpline@geind.ge.com
"Geine Technologies India
Pvt Ltd, New Delhi","Website: www.geinetech.com Email:
punit@geinetech.com","eCRM, Portal development, Website designing &
developing, e-commerce",,www.geinetech.com,punit@geinetech.com
"Genesis Infotech Solutions
Pvt. Ltd., Chennai","Website: www.genesisintl.com Email:
anand@genesisintl.com","Client-server technology, E-commerce training and
projects, Consultancy",,www.genesisintl.com,anand@genesisintl.com
"Genisys Integrating Systems
(I) Pvt. Ltd., Bangalore","Website: www.genuk.com Email:
linaraj.urs@genisys-group.com","Banking and Financial Services, Healthcare and
Hospitality, Manufacturing, Internet",,www.genuk.com,linaraj.urs@genisys-group.com
"Geodesic Information
Systems Ltd., Mumbai","Website: www.geodesic.org Email:
pankaj@geodesic.org","IT Enabled services, e-com, Software Development",,www.geodesic.org,pankaj@geodesic.org
"Geometric Software
Solutions Company Ltd.,
Mumbai","Website: www.geometricsoftware.com
Email: manup@geometricsoftware.com","CAD/CAM/CAE/PDM software solutions and
development services; Experise in Geometric
Modeling Software (Solid and Surface modeling);
Data Translation (IGES,STEP, VDA, ACIS, Parasolid,
Properitory formats); Feature Recognition (Automatic
& Interactive for I",,www.geometricsoftware.com,manup@geometricsoftware.com
"Global Automation India (P)
Ltd, Bangalore","Website: www.global.com Email:
gopal@integratech.soft.net","Wireless, Internet / Intranet, Development Tools",,www.global.com,gopal@integratech.soft.net
"Global Business Technology
Services Pvt Ltd, Chennai","Website: www.gbstindia.com Email:
gopal@gbsindia.com","Software development for insurance/reinsurance
companies, Legacy conversion/Maintenance,
Systems integration & Data Warehousing, IT Enabled
services",,www.gbstindia.com,gopal@gbsindia.com
"Global Dialnet Limited, New
Delhi","Website: www.globaldialnet.com Email:
care@bharatnet.com","Software development/solutions, Web solutions, ASP,
Internet Technologies",,www.globaldialnet.com,care@bharatnet.com
Global Groupware Solutions,Website: www.globalgroupware.com Email:,"Customer Relation Management, Workflow",,www.globalgroupware.com,
"Pvt Ltd, New Delhi",sk@globalgroupware.com,Applications,,,
"Global Infosystems Ltd, New
Delhi","Website: www.globalinfosys.org Email:
md@globalinfosys.org","IT Consultancy, IT cources, Internet services,
Customised projects",,www.globalinfosys.org,md@globalinfosys.org
"Global IT Services Ltd.,
Calcutta","Website: www.global-itservices.com Email:
globalis@cal2.vsnl.net.in","Multi tier client-server systems design & development,
Internet Technologies to Support E-business, Data",,www.global-itservices.com,globalis@cal2.vsnl.net.in
Company,Contact Address,Specialization,,,
,,Warehousing & Data Mining solutions,,,
"Global Software (I) Pvt Ltd,
Chennai","Website: www.globalsw.com Email:
knarayan@globalsw.in.com","CRM, application management, e-commerce,
systems integration",,www.globalsw.com,knarayan@globalsw.in.com
"Global Tech India Pvt. Ltd.,
Ahmedabad","Website: www.thegt.com Email:
paresh@theGT.com","Customised Software Development, Multilingual
Development, Internet / Intranet, Overseas Software
Development",,www.thegt.com,paresh@theGT.com
"Globalsoft Pvt. Ltd., New
Delhi","Website: www.globalsoft.co.in Email:
vivek@globalsoft.co.in","Broadcasting Software, Advanced Transactions
based web poratls, onsite consulting, Embedded
Systems/software",,www.globalsoft.co.in,vivek@globalsoft.co.in
"Globsyn Technologies Ltd.,
New Delhi","Website: www.globsyn.com Email:
globsyn@vsnl.com","Data warehousing, Enterprise solutions (including
IBM Mainframe & AS/400), Web Enablement;
Multimedia, EDI / E-commerce, Y2K Solutions",,www.globsyn.com,globsyn@vsnl.com
"Godrej Infotech Ltd, Mumbai","Website: www.godrej.com Email:
pk@godrej.com","ERP consultancy, e-commerce solutions, commercial
application software development, IT outsourcing",,www.godrej.com,pk@godrej.com
"Goenka Infotech Limited,
Hyderabad","Website: www.goenkainfotech.com Email:
susmita.goenka@goenkainfotech.com","Independent validation & verification, validation of
web page, software maitenance & web enabling of
legacy applications, IT application for Power sector",,www.goenkainfotech.com,susmita.goenka@goenkainfotech.com
"Goldstone Technologies Ltd,
Secunderabad","Website: www.goldstonetech.com Email:
gopalkm@goldstone.net","Computing, Data Warehousing, Web Centric
Applications Distributed",,www.goldstonetech.com,gopalkm@goldstone.net
"GrapeCity India Pvt. Ltd.,
New Delhi","Website: www.grapecity.com Email:
chittora@grapecity.com","Development and distribution of Active X
components, Consulting Services on Microsoft
technologies for Internet and Intranet solutions,
Marketing, Support and Implementation of Vertical
Market Solutions, Support and training on Microsoft
Developer platform",,www.grapecity.com,chittora@grapecity.com
"Growth Compusoft Exports
Ltd., Ahmedabad","Website: www.growthcompusoft.com Email:
snk@growthcompusoft.com",Client Server Architecture,,www.growthcompusoft.com,snk@growthcompusoft.com
"GTL Limited, Mumbai","Website: www.gtllimited.com Email:
ajaya@gtl.co.in","Web Technologies / Internet / Intranet, ERP Solutions
/ E-commerce / EDI, Telecom Solutions / Billing
Solutions / Communication Software, Software
Development",,www.gtllimited.com,ajaya@gtl.co.in
"Gujarat Informatics Limited,
Gujarat","Website: www.gujaratinformatics.com
Email: md@gujaratinformatics.com","e-Governance Projects, Customised Software for
government, IT Architecturing, Investment
Consultants",,www.gujaratinformatics.com,md@gujaratinformatics.com
"Gujarat Narmada Valley
Fertilizer Company,
Ahmedabad","Website: www.gnvfc.net Email:
addesai@gnvfc.com","Internet & E-commerce services, VSAT
communication, LAN/WAN, IT infrastructure, Digital
certification",,www.gnvfc.net,addesai@gnvfc.com
"Gujarat Venture Finance
Ltd., Ahmedabad","Website: www.gvfl.com Email:
vishnu@ad1.vsnl.net.in",Venture Capital Assistance,,www.gvfl.com,vishnu@ad1.vsnl.net.in
"Gulf Computers Private
Limited, Mumbai","Website: www.egulf.com Email:
smani@egulf.com","Oracle : Forms 4.5, Imaging Solutions, Y2K Solutions
for various software (COBOL, PL1, Mantis,
Easytrieve), C/S environment including Oracle
tools(D2K, Des2K, Web apps), VB, Push Button,
Sybase., AS 400 development, JAVA, Netscape,
C++, Spatialware, Map",,www.egulf.com,smani@egulf.com
"Hamilton Research &
Technology Pvt. Ltd.,
Calcutta","Website: www.hamiltonresearch.com Email:
hart@cal.vsnl.net.in","Turnkey solution for industrial control and
communication system, Embedded controller adapted
to different applications",,www.hamiltonresearch.com,hart@cal.vsnl.net.in
"Hays Document
Management Pvt. Ltd.,
Chennai","Website: www.hays-plc.com Email:
venkat_kumar@haysdm.co.uk","IT Enabled Services/BPO, Data Acquisition,
Image/Data Processing",,www.hays-plc.com,venkat_kumar@haysdm.co.uk
"HCC Infotech Ltd, Mumbai","Website: www.hccinfotech.com Email:
db@hccinfotech.co.in","Web based ERP applications, Portal Design &
Development, Datawarehousing & Mining,",,www.hccinfotech.com,db@hccinfotech.co.in
Company,Contact Address,Specialization,,,
,,"Customised software development, Design &
Animation",,,
"HCL E Serve Technologies
Ltd, Noida","Website: www.eserveglobal.com Email:
vineet.nayyar@hpsglobal.com","Call centre -Inbound & outbound, Accounting
services, Transaction processing, HR Services",,www.eserveglobal.com,vineet.nayyar@hpsglobal.com
"HCL Infosystems Ltd, Noida","Website: www.hclinfosystems.com Email:
akcd@hclinsys.com","Application development/maintenance, Technical
help-desk services, SAP implementation/ABAP
programming, Infrastructure services",,www.hclinfosystems.com,akcd@hclinsys.com
"HCL Perot Systems Pvt Ltd,
Noida","Website: www.hclperot.com Email:
l.ravichandran@hpsglobal.com","Investment Banking, Telecom, Energy, Migration, E-
Services, Object Development",,www.hclperot.com,l.ravichandran@hpsglobal.com
"HCL Technologies Ltd,
Noida","Website: www.hcltechnologies.com Email:
sunayna@hclcomnet.co.in","Client Server, Imaging, Workflow & ERP, Mainframe,
Legacy Systems and AS 400 based solutions,
Telecom, Networking, Netcentric software & E-
Commerce, Embedded Systems, DSP, ASIC Cores &
System Software",,www.hcltechnologies.com,sunayna@hclcomnet.co.in
"Healthscribe India Limited,
Bangalore","Website: www.healthscribeindia.com Email:
healthscribe@healthscribe.com",Medical Trascription,,www.healthscribeindia.com,healthscribe@healthscribe.com
"Hero Corporate Services Ltd,
New Delhi","Website: www.herogroup.com Email:
skmhnjal@herogroup.com","ERP Implementation, IT Enabled Services, CRM,
Back-Office Processing",,www.herogroup.com,skmhnjal@herogroup.com
"Heuristix Systems Pvt Ltd,
Bangalore","Website: www.heuristix-india.com Email:
heuristix@vsnl.com","Software Engineering Services and Real-Time
Software Development, Object Oriented Computing
Technology and GUI, Software Quality Assurance -
Test Suite Development",,www.heuristix-india.com,heuristix@vsnl.com
"Hewlett-Packard (India)
Software Operations Pvt Ltd,
Bangalore",Website: chatt@india.hp.com,"Product Development, Complex Software solution
development, Leading edge technology, middleware
and framework development.",,chatt@india.hp.com,
"Hexaware Technologies
Limited, Chennai","Website: www.hexaware.com Email:
pks@hexaware.com","ERP, E-Business, Euro services, ESM -
Enterprisewide Systems Management, Services -
Consulting, Maintenance, Development",,www.hexaware.com,pks@hexaware.com
"Hinduja TMT Ltd, Bangalore","Website: www.hindujatmt.com Email:
rameshck@htmy.soft.net","Technology, Media & Telecommunications",,www.hindujatmt.com,rameshck@htmy.soft.net
"Hiperworld Cybertech Ltd,
New Delhi","Website: www.hiperworld.com Email:
as@hiperworld.com","E Commerce-Netbased, WAP, SMS, Application
Service Provider, B2B, MarketPlace, SCM, DCM,
CRM, Payment gateway",,www.hiperworld.com,as@hiperworld.com
"Hi-Tech Compucare, Tripura",Email: hitecagt1@hotmail.com,"Maintenance and Support, Software Development,
Consultancy, Training",,,hitecagt1@hotmail.com
"HMA STARware Ltd,
Chennai","Website: www.hmastarware.com Email:
harishmurthi@vsnl.com","Banking Software Products & Services, Middleware &
Switching Products",,www.hmastarware.com,harishmurthi@vsnl.com
"Holool E-Business Pvt Ltd,
Hyderabad","Website: www.holool.com Email:
mohan@holool.com","E-business, Oracle support services, E-governance,
Consulting",,www.holool.com,mohan@holool.com
"Honeywell India Software
Operations Pvt. Ltd.,
Bangalore",Email: contact-hiso@honeywell.com,"Real-time embedded systems, Desktop tools, Internet
technologies, Mission critical software",,,contact-hiso@honeywell.com
"HOPE Technologies Ltd.,
New Delhi","Website: www.hopeindia.com Email:
amit.duttagupta@hope-consulting.com","CAD, CAM / CAE, GIS, Web enabled electronic
cataloging",,www.hopeindia.com,amit.duttagupta@hope-consulting.com
"House of Code (India) Pvt.
Ltd., Mumbai","Website: www.houseofcode.com Email:
sunil@houseofcode.com","Internet and Intranet, Data Web Housing, Web
Enablement",,www.houseofcode.com,sunil@houseofcode.com
"Houston Technologies Ltd
New Delhi","Website: www.houstontechnologies.com
Email: bahuja@housontechnologies.com","Systems Integration, IT Enabled services, Internet 7
E-Commerce, Off-shore Services",,www.houstontechnologies.com,bahuja@housontechnologies.com
HSBC Electronic Data,Website: www.hsbc.com Email:,"Back office operations, IT Enabled Services",,www.hsbc.com,
"Processing India Pvt. Ltd.,
Hyderabad",adrianholland@hsbc.com,,,,
"HTC Software Development
Centre, Chennai","Website: www.htcinc.com Email:
madhava@htcinc.com","Professional Services, Application Outsourcing,
Project Management, Packaged Service",,www.htcinc.com,madhava@htcinc.com
Company,Contact Address,Specialization,,,
"Huawei Technologies India
Pvt Ltd, Bangalore","Website: www.huawei.com Email:
jack@in.huawei.com","Telecom, Network Management, Datacom, Wireless
solutions",,www.huawei.com,jack@in.huawei.com
"Hughes Software Systems
Ltd, Gurgaon","Website: www.hssworld.com Email:
info@hss.hns.com","Protocol stacks - telecom and data communication,
Internet and Electronic Commerce offerings, Network
Management and Mediation Device Systems,
Intelligent Networks & Switching Solutions",,www.hssworld.com,info@hss.hns.com
"Human Base India Inc.,
Bangalore","Website: www.humanbaseindia.com Email:
human@vsnl.com","Business and Financial Applications, Process Control
Applications, Supply Chain Management Systems,
Expertise in Japanese Environment",,www.humanbaseindia.com,human@vsnl.com
"Hurix Systems Pvt. Ltd.,
Mumbai","Website: www.hurix.com Email:
subrat.mohanty@hurix.com",E-learning application,,www.hurix.com,subrat.mohanty@hurix.com
