S.No.,Exporter Name,Address,StateName,Phone,Mobile,Email
167,Nature Bio-Foods Ltd.,"Unit No. 134, First Floor, Rectangle-1, Saket
Distt. Centre, New Delhi, INDIA.",New Delhi,3052044,9896392110,tapan.ray@ltgroup.in
168,Wayanad Social Service Society,"Wayanad Social Service Society PB No. 16,
Mananthavady, Wayanad-670645",Kerala,240314,9497820000,wsss@sify.com
169,Star International,"4119/7 First floor, Naya Bazar, New Delhi",New Delhi,2381155,9996115377,organicfoods@sunstarmail.com
170,Plasma Power Private Limited,"123, New Avadi Road, Chennai",Tamil Nadu,26224503,9.20E+11,arun@plasmaneem.com
171,M/S.Sourenee Leaves Pvt. Ltd.,"Poddar Point, 10th Floor,113,Park Street,
Kolkata-700016, West Bengal, India",West Bengal,22824625,,sourenee@titagarh.biz
172,"PARRY AGRO INDUSTRIES LTD-PARALAI
ORGANIC TEA PROJECT","Parry Agro Industries Ltd., P.B. No. 521,
Willingdon Island, Cochin-682 003, Kerala,
India",Tamil Nadu,222265,,udaykumarsamuel@pai.murugappa.com
173,Popular Pulse Products Pvt. Ltd.,"â€˜The Horizonâ€™, Suite No. 311, 11/5,
South Tukoganj, Indore.",Madhya Pradesh,,9826044658,popularpulse@gmail.com
174,Umalaxmi Organics Private Limited,"Dave Bhawan, Modh Bhatta, Industrial Area,
Sojat City, District Pali",Rajasthan,223588,9413208708,deepakumalaxmi@gmail.com
175,Indway International,"501, Pride Paradise, Model Colony, Pune",Maharashtra,25232242,9820801965,jpnarakkat@hotmail.com
176,PSS Ganesan and Sons,"C-82,83, SIPCOT Complex, Tuticorin",Tamil Nadu,2340347,9443150001,herbambrosia@gmail.com
177,Navdanya Agrotech Research Foundation,"A-60 , Hauz Khas , New Delhi",New Delhi,26968077,9412998158,navdanya@gmail.com
178,Arvind Limited.,"Naroda Road,Ahmedabad.",Gujarat,30138089,9904011226,mahesh.r@arvind.in
179,Sri Mata Bio Source,"9/5, 16th Cross, Indian Bank Colony,
Rajarajeshwarinagara, Bangalore",Karnataka,22794948,9448493759,murali@smbiosource.com
180,Neeru Enterprises,"6, Saleem Manzil, Civil Lines, Rampur -
244901 U.P, India",Uttar Pradesh,2350829,,info@neerumenthol.com
181,NKG JAYANTI,"501, Queens Corner, 'A' 3 Queens Road,
Bangalore - 560001",Karnataka,41637023,,trade@nkgjayanti.com
182,Wayanad Social Service Society,"PB No. 16, Mananthavady, Wayanad-670645",Kerala,240314,9497820000,wsssorganic@gmail.com
183,Good Earth Organics,"Door No. 7/210, Malayatoor Road, Kalady -
Kerela - 683574",Kerala,,9847043192,murlaycv@rediffmail.com
184,Ramona Cosmacceuticals,"M/s. Ramona Cosmaceuticals pvt Ltd., 289,
Railway Feeder road, Rajapalayam 626117
Tamilnadu India",Tamil Nadu,220735,9443381151,ramonacosma07@gmail.com
185,Wayanad Social Service Society,"PB No. 16, Mananthavady, Wayanad",Kerala,240314,9497820000,wsssorganic@gmail.com
186,SARAF TRADING CORPORATION (P) LTD.,"2-14/ BYE-PASS ROAD, MADATHUR,
TUTICORIN",Tamil Nadu,3012299,9895181100,amolsaraf@gmail.com
187,CG Herbals,"643-644,6th Floor, magneto Offizo,
Labhandi, NH-6, Raipur",Chhattisgarh,7714041423,9820281117,cgherbals@gmail.com
188,Planet Pure Impex Pvt. ltd.,"#5, 2nd Floor, Santoshi Complex, Khalini,
Shimla, Himachal Pradesh-171002",Himachal Pradesh,,9816072075,dkgupta@pureindia.com
189,Vedicare Ayurveda Pvt. Ltd.,"5 J, First Floor, Shahpur Jat, New Delhi",New Delhi,26491558,9.20E+11,info@vedicareorganics.com
190,Subodh Brothers Private Limited.,"27F, Madan Mitra Lane,Kolkata.",West Bengal,23522128,9830057354,teapeople@gmail.com
191,AEON COMMODITIES PRIVATE LIMITED,"ME-1, Gillander House, 8 N.S Road, Kolkata -
700 001",West Bengal,22313558,,aeoncommodities@gmail.com
192,MIRACLE TEA & SPICES CO,"21, R.N. MUKHERJEE ROAD, 2ND FLOOR,
KOLKATA WEST BENGAL, INDIA",West Bengal,22312294,9903975929,kkp001@gmail.com
193,Abhyuday Industries,"27, Market yard, P.O.Box No.006, Sidhpur",Gujarat,220534,,info@abhyudaypsyllium.com
194,Bharat Gluco Industries Pvt. Ltd.,"Pakhana-Nadana road, Taraori, Dist. Karnal,
India",Haryana,244001,9896051555,bharatgluco@hotmail.com
195,KPL International Ltd.,"Park Plaza, South Block, 7th Floor, 71 park
street, Kolkata",West Bengal,22178179,9830118171,kplkolkata@kplintl.com
196,Kanoria International,"10, Princep Street, Kolkata",West Bengal,22129584,9831743578,balajiagro.international@yahoo.co.in
197,MRT ORGANIC GREEN PRODUCTS,"414-1, Ist Floor, Mezhukkattil Buildings,
Ashokapuram. Cochin Bank Junction, Aluva,
Cochin",Kerala,2837991,9746039299,mrtorganic@gmail.com
198,Navjyot International Trading Pvt. Limited,"307, Balarama Building, Bandra Kurla
Complex, Bandra ( East) Mumbai",Maharashtra,26592999,"9,32,93,15,07,79,93,04,00,000",traffic@navjyotintl.com
199,Camellia Tea.,"17, Kailash Bose Street,Kolkata.",West Bengal,22346413,9830057354,dipak.camelliatea@gmail.com
200,Green Fiesta Private Limited,"675, Wait Ganj Ludhiana",Punjab,,9592185800,sachit@greenfiesta.com
201,Kusum International,"12C, Lord Sinha Road, Flat 6D, Kolkata",West Bengal,,9836106802,rajangoel@bagariagroup.com
202,WEIKFIELD FOODS PVT LTD,GAT No. 485 LONIKAND PUNE 412216.,Maharashtra,6.63E+15,9850053365,prasen_gupta@weikfield.com
203,Kadam Exports Pvt. Ltd.,"99/100, Chinubai tower, Ashram Road,
Ahmedabad",Gujarat,26582983,,kadampsyllium@yahoo.com
204,SEASONS INTERNATIONAL PVT LTD.,"5-O-1 R.C.VYAS COLONY BHILWARA
RAJASTHAN",Rajasthan,239091,7665437123,info@seasonsinternational.in
205,SIGNATURE ESTATES,"17, R.N.Mukherjee Road, Kolkata",West Bengal,22488838,,info@single_estates.com
206,M/s. bioRe India Limited,"5TH MILESTONE, MANDLESHWAR ROAD,
KASRAWAD, KHARGONE (DIST), MADHYA
PRADESH 451228",Madhya Pradesh,,9826652727,biore@sify.com
207,"Sri Anandateertha Aromatics Pvt Ltd
(Mandya Unit )","Vijayaraja Estate, Chokkanahalli, Jakkur Post,
Bengaluru",Karnataka,50670300,9980868959,anandateerthaaromatics@gmail.com
208,Agrocel Industries Limited,"Koday Char Rasta, Koday, Tal- Mandvi, Dist-
Kachchh",Gujarat,295403,9428401426,agrocel2003@yahoo.com
209,Tharakan & Company,"Parambil Buildings, Olassa, Kottayam",Kerala,2516119,9447037383,materials@tharakanandcompany.com
210,Shakti Isabgol Industries,"Bindu Sarovar Road, Sidhpur",Gujarat,222042,,shakti@sat-isabgol.com
211,"Brihat Consultants (India) Pvt. Ltd.,","22, Second Cross, Anna Nagar",Pondicherry,4134205189,9367601189,brihat.co.in@gmail.com
212,Indo World Trading Corporation,"B â€“ II/6, Mohan Co-Operative Industrial
Estate, Badarpur, New Delhi",New Delhi,46759700,9.20E+11,indoworld@airtelmail.in
213,ITC Ltd.-Agri Business Division,"31, Sarojini Devi Road, Secunderabad,
Andhra Pradesh,India",Andhra Pradesh,27801024,,mukund.kale@itc.in
214,Kalpesh Corporation,"S.N. 143, National Highway-8,
Brhamanwada, Teh.- Unjha, Dist.- Mehsana",Gujarat,,9879597821,kalpeshcorp@kanaiyagroup.com
215,Parkwood Farms Private Limited,"Level 6 Constantia, 11, Dr. U. N. Brahmachari
Street Kolkata, INDIA",West Bengal,3322803018,3322803018,indiateaexp@vsnl.net
216,Aishwarya Agri Products,"30,Old MIDC Co-Operative Building,MIDC
Area,Jalgaon",Maharashtra,2272594,9765477999,aniljain_jal@hotmail.com
217,Mudar India Exports,"6-1-744, Kovoor Nagar, Anantapur District.",Andhra Pradesh,515004,9393710640,sudheer@mudarindia.com
218,DYNAMIC AGRO INTERNATIONAL,"Plot No. 295, B/H G.I.D.C, Sujanpur Road,
Post. Gangalasan, Taluk- Sidhpur, District-
Patan,",Gujarat,221169,9825073458,wadhwachicory@hotmail.com
219,Cultivator Natural Products,"Sonamukhi Nagar, Sangaria Fanta, Salawas
Road, Jodhpur Rajasthan- 342005",Rajasthan,2764488,9414134931,t_prajapati@yahoo.com
220,Pharmanza Herbal Pvt. Ltd.,"Plot No. 214, Near Vadadla Patiya, Borsad
â€“ Tarapur Road, At Kaniya â€“ 388 435, Ta:
Petlad, Dist.: Anand",Gujarat,244051,9.20E+11,administration@pharmanzaherbals.com
221,Proderna BioTech Pvt. Ltd.,"C-584,RIICO Industrial Area Phase 1,Bhiwadi
Dist.Alwar-",Rajasthan,29231889,9.20E+11,deepak.soota@proderna.com
222,Richabel Bio Foods (India) Private Limited,"1/741, Ashisha Mangalath, Satellite
Township. Kakkanad West Kochi â€“ 682030",Kerala,,9847023605,richabelfds@gmail.com
223,"BGH Exim limited,Global Export and
Marketing","Industry house, 16th floor, 10, Camac street,
Kolkata, west bengal,India",West Bengal,24485580,9830135777,teafactory@adityabirla.com
224,M/s SYNTHITE INDUSTRIES LIMITED,"SPICE DIVISION PANCODE, VADAVUCODE",Kerala,3227709,9.15E+11,abraham@synthite.com
225,Shri Kartikeya Pharma,"5-9-225, 3rd floor, Sanali estate,CA
Lane,Abides,Hyderabad",Andhra Pradesh,66661037,7569645405,kalyani@kplabs.com
226,Sinensis Tea Company,"C/O Mothola Tea Estate, Mancotta Road
Dibrugarh",Assam,2324354,9435476099,sales@sinensistea.com
227,SANKHUBABA INTERNATIONAL,"Sector-1B, Plot No.-30.31, I.I.E-SIDCUL",Uttaranchal,24716502,9867625053,sbiharidwar@gmail.com
228,"Vossen &Co,","B 13, Vasant corner, Avantivihar, Telibanda,
Raipur",Chhattisgarh,3296619,9329103116,rajnish.awasthi@gmail.com
229,CG Herbals,"643-644, 6th floor, Magneto Offizo,
Labhandi, NH-6, Raipur",Chhattisgarh,7714041423,9820281117,cgherbals@gmail.com
230,Premiers Tea Limited,"6A, Landmark, 228 A, A.J.C.Bose Road,
Kolkatta, West Bengal, India.",West Bengal,22878997,,premierstea@vsnl.net
231,M/s. Golden Vintage Farmers Industry,"Khanna Nagar. P.O.,Muringoor-
Vadakkummury,Mukundapuram, Thrissur",Kerala,2732858,,ceo@farmerindia.com
232,Nature Bio- Foods Ltd.,"UNIT NO.134, FIRST FLOOR, RECTANGLE-
1,SAKET DISTRICT CENTRE, NEW DELHI",New Delhi,3052033,9992025107,abhijeet.bhosale@ltgroup.in
233,"M/s.Kerala State Rubber Co-operative Ltd
(RUBCO)","Rubco House, South Bazar, Kannur",Kerala,2711134,9946039380,nutri-ko@rubcomail.com
234,Herbs India,"105/E1 & E2 Palayamkottai Road, Tuticorin",Tamil Nadu,2310940,9360020301,herbsind@vsnl.com
235,"Chakrapani Ayurveda Clinic & Research
Center","8, Diamond Hill, Behind Birla Mandir, Tulsi
Circle, Shanti Path, Jaipur",Rajasthan,2624003,9.20E+11,info@ayu.in
236,M/S Lakyrsiew Tea,"Lakyrsiew, Lumsohphoh, Lower Mawprem,
Shilong 793 002, Meghalaya, India",Meghalaya,2547688,9862008162,nayan.linnebank@gmail.com
237,Aatish Industries,"Asha House, Plot No. 808/C , Dr. B.A.Road,
Dadar T.T , Mumbai.",Maharashtra,,9998394750,tmc.hardik@gmail.com
238,Ecobuddy Exports,"159, Thiruvalluvar Salai, Thiruvanmiyur,
Chennai 600041, Tamil Nadu",Tamil Nadu,,9962520528,ecobuddy.India@gmail.com
239,EXCELSIOR TRADERS,"9 EZRA STREET, KOLKATA",West Bengal,22253949,9903042131,ajaydhir1@gmail.com
240,Green Fiesta,"675, Wait Ganj, Lal Masjid Road, Ludhiana",Punjab,275315,9592185800,sachit@greenfiesta.com
241,Nisarga Biotech Pvt. Ltd,"275, Chandan Nagar, Addl. MIDC, Degaon
road, Satara -415004, Maharastra India.",Maharashtra,,,krushitek@vsnl.com
242,Biogreen Healthcare,"Prabhakar, Plot No.AM 2/4, Wagle Industrial
Estate Area, Near Mulund Check Naka, LBS
Marg, Thane (West)",Maharashtra,25827640,9930686713,biogreenhealthcare@gmail.com
243,Aricha Trading Co. Ltd.,"8 BBD Bag East, Kolkata, West Bengal, India.",West Bengal,22137617,,aricha@india.com
244,Agrocel Industries Limited.,"Near Koday Char Rasta, Village Koday, Taluka
Mandvi, Kachahh.",Gujarat,295486,9428401425,shailesh.patel@agrocel.net
245,MADHU JAYANTI INTERNATIONAL LTD,"JAY COMPLEX,46,B.B.GANGULY STREET,
KOLKATA",West Bengal,66522950,3366522950,jaylab@jaytea.com
246,Green Planet Agro Tech,"Street and No: 55, PARSWANATHNAGAR,
CHANDKHEDA",Gujarat,,8866331212,greenplanetagrotech@gmail.com
247,M/s. Jeevagram,Manickamangalam Kalady P.O. Ernakulam,Kerala,2464778,9447777947,jeevagram@gmail.com
248,Rameshchandra Bhikhalal & Company,"614/E, Dohsi House, Patne Chambers,
Shahupuri, 1st Lane, Kolhapur-416001,
Maharashtra",Maharashtra,2657343,9923309666,niket@dohsiventures.com
249,AMSAR GOA PRIVATE LIMITED,"S-12, COLVALE INDUSTRIAL ESTATE,
COLVALE, BARDEZ",Goa,6450266,9823287507,Oscar@amsar.com
250,K.S.N Eco Producer Company Ltd,"#77 B, Ashisara, Bairumbe, Sirsi Taluk, Uttar
Kannada District.",Karnataka,,9902070337,ecoksn@gmail.com
251,Orbit Farms Pvt. Ltd.,"LG-3 ,Meridian Tower , Udhna Darwaja,
Surat",Gujarat,2332541,9227580803,orbitfarms@yahoo.co.in
252,GREEN LEAF EXTRACTIONS PVT.LTD,"3/150 B,PULIKKAYATH, EROOR NORTH
COCHIN",Kerala,3230040,9447150040,sreelatha@greenleafextractions.com
253,Namdhari Seeds Pvt.Ltd.,"Uragahally, Post-Bidadi, Dist-
Ramanagaram,Bangalore, Karnataka, India",Karnataka,82401,,info@namdharifresh.com
254,The Teloijan Tea Company Limited,"34,Raja Santosh Road, Kolkata",West Bengal,44878959,9830057051,exports@teloijan.com
255,Khandige Herbs & plantations Pvt.Ltd.,"No.46/1, Jaraganhalli, Kanakapura Main
Road, Bangalore",Karnataka,26714599,,info@khandigeorganic.com
256,Ancient Greenfields private Limited,"14/39, Brindavan Nagar, P&T Colony,
Kovundam palayam Coimbatore - 641030",Tamil Nadu,,9894906487,agfselva@gmail.com
257,SARAF TRADING CORPORATION (P) LTD.,"2-14/ BYE-PASS ROAD, MADATHUR,
TUTICORIN",Tamil Nadu,3012299,9895181100,saraftea@eth.net
258,TEESTA VALLEY EXPORTS LIMITED,"McLeod House, 2nd Floor, 3 Netaji Subhas
Road, Kolkata",West Bengal,22483370,3322489164,jaikumar@teestavalley.com
259,M/s Prakruti Products Pvt. Ltd.,"Sagar Complex, Maruti Temple Road,
Karwar, Karnataka.",Karnataka,220000,9845161000,pratisales@prakruti.com
260,GREEN VALLEY ORGANICS SPICES,"AT:KOTEGADDI, BILGI, SIDDAPUR,
KARNATAKA",Karnataka,89283264,,greenvalleyorg@gmail.com
261,AayurMed Biotech Pvt. Ltd.,"1-2 Satyam 1-B, Raheja Complex, Nr. Time of
India Press, Off Western Express Highway,
Malad East, Mumbai",Maharashtra,32919302,9820537770,info@aayuherb.com
262,CCL PRODUCTS (INDIA) LIMITED,"Duggirala (Post & Mandal), Guntur (District).
Andhra Pradesh. India-522330.",Andhra Pradesh,277146,9490163914,tsnaidu@cclproducts.com
263,Sun Trading Agency & Company,"33/1, Netaji Subhash Road, Marshal House,
3rd Floor, Room No. 317, Kolkata, India",West Bengal,22487089,,suntrade@vsnl.net
