company_name,Address,Tel,Mob,Fax,Email,fax
127. THALANAR COFFEE EXPORTS,"16, VENKATARAMAN ROUND ROAD, MAHALINGAPURAM, POLLACHI, COIMBATORE–642002, TAMILNADU,  |",,"+91 9789300777,",,thalanarcoffeeexports@gmail.com,
128. PAPAKUCHI COFFEE,"VENKIDS VALLEY ESTATE, KANDANAKOLLY POST & VILLAGE, MADIKERI-571 201, KODAGU, KARNATAKA","08272-233635,",,,papakuchicoffee@gmail.com,
129. REAPACRES LLP,"507, RENAISSANCE PARK 2, SUBRAMANYANAGAR, BANGALORE 560055 |  | Mob : 9845608520",,,,dinesh@reapacres.com,
130. YCT ENTERPRISES,"NO. 1058/A, V.V. NAGAR, 14TH CROSS, MANDYA, KARNATAKA -571401,  |",,9902015982,,yctenterprisesindia@gmail.com,
131. V V EXPORTS,"9/4-1, GANESH COMPLEX R.S. ROAD, OTTAPPALAM PALAKKAD KERALA- 679101,  |",,8907316488,,chellikkal.coffee@gmail.com,
132. SHRESHTA GLORY TRADERS,"GROUNG FLOOR, SHOR NO. 01, HOUSE NO. 175,A S MEDAPPA BUILDING NELJI NAPOKLU MAIN ROAD, MADIKERI TALUK, KARNATAKA- 571214",,"9845853698,",,shreshtaglory@gmail.com,
133. SETHUS EXPORTS,"OP.1/1124, PALA, PALAZHI ROAD,P.O.GA COLLEGE, KOZHIKODE-673014, KERALA  |",0495-2433101/2433601,,,sethusexpo@redifmail.com,
134. HARITHAM TOTAL GREENERY SOLUTIONS,"KIZHAKKE ANJIKKATH BUILDING, KOONAMTHAI TEMPLE ROAD,PATHADIPPALAM, CHANGAMPUZHA NAGAR POST, EDAPPALLI, ERNAMKULAM DISTRICT, KERALA  |",,8848705505,,harithamkochin@gmail.com,
135. KODAMA NATURAL PRODUCTS PRIVATE LIMITED,"A5 RAVIUDAYA APARTMENTS, 1ST CROSS, 4TH BLOCK, JAYALAKSHMIPURAM, MYSORE, KARNATAKA- 570012",,8277254198 |,,cat@howlandkodama.com,
136. THE MYSORE PLANTATIONS LTD,QUARD HITLOW POSTQUARD HITLOW POST CHIKMAGALUR 577126 KARNATAKA,,9482881942 |,,mpltdoff@gmail.com,
137. CADELL TRADERS,"TC.2/1360(3), Poulin Tower, Near Techno Park, NH Bye pass,Kazhakuttam, Trivandrum – 695 582.","+91 471-2412608, 2412607,",+91 9895955926,,cadellgroup@gmail.com,
138. MEGAMALAI HOLDINGS,"F57, 4TH STREET, ANNANAGAR EAST, CHENNAI- 600102 |  |",,9150019989,,Chitra@rajaandhuvanestate.com,
139. SD EXPORTS,"133 NATTAMMAIKARA133 NATTAMMAIKARA STREET MADURAI ROAD THENI, THENI 625531, TAMILNADU",,9003565566 |,,pethanatchi1962@gmail.com,
140. M V AGRO,"ALLAMPURA, CHIKMAGLUR, KARNATAKA 577101 |",,8828284537,,info@arcisproducts.com,
141. KANAMAD EASTATES,"202, BRIGADE ADYSSEY, CONVENT STREET, RICHMOND TOWN, BANGALORE- 560025",,9739978250 |,,Sujitsubiah1@gmail.com,
142. RICHBEL BIO FOODS (INDIA) PRIVATE LIMITED,"1/741, ASHISHA MANGALATATH, SATELLITE TOWNSHIP, KAKKANAD WEST, KOCHI- 682030 |  |",,9400052605,,richabelbfds@gmal.com,
"143. CAFFEINE NIRVANA,","OFFICE SY. NO. 222, KESERKI ESTATE, HOSAHALLIPET POST, CHIKMAGALUR, KARNATAKA- 577130, |",,8073728811,,Danish.888.ali@gmail.com,
144. GREENKERA,"V/573, Palamattathil Building Peruva P.O Mullakulam Village Kottayam, Kerala Pin-686610  |",,-0.953831458,,gmgreenkera@gmail.com,
145. ETEAKOL PRIVATE LIMITED,", LACHIT BARPHUKAN PATH, BEGENKHOWA, GOLAGHAT, ASSAM- 785702,",,"9766679105,",,Nirab@eteakol.com,
146. SLEEPY OWL COFFEE PRIVATE LIMITED,"145/7 GROUND FLOOR, SHAHPUR JAT, NEW DELHI, SOUTH DELHI- 110049  |",,8383083563,,sleepyowlus@gmail.com,
147. KOTTACKAL AGRO FOODS,MOOKKANNOR P.O. ERNAKULAM - KERALA 683577  |,,9447095577,,info@mayilrice.com,
148. SHADE COFFEE,"NAGALAXMI THEATER, I.G.ROAD, CHIKMAGALUR-577101, KARNATAKA  |",,"+91 99865 60159,",,namithraj@gmail.com,
149. GOSREE DRY FOODS,"8/532, KALATHIVEETTIL BUILDING, MALIPURAM, ERNAKULAM. KERALA - 682511  |",,"9447810862,",,salithomas@gmail.com,
150. WOODPECKERS COFFEE TRADING HOUSE,"192, SUBBARAMA CHETTY ROAD, BASAVANAGUDI BANGALORE-560004, KARNATAKA",,"+91 9886046449,",,info@woodpeckerscoffee.com,
151. NAIVO CAFÉ (GOURMET COFFEE ROASTERS),"SY. NO. 122, DAUGHTERS OF DEVINE, KANNUR VILLAGE & POSTBANGALORE - 562 149, KARNATAKA  |",,"+91 9844002670, 9980525058,",,naivocafe@gmail.com,
152. RC FARM EXPORTS PRIVATE LIMITED,"NO.110, MANJUSHA ESTATE, CHIKKAMANDUR-571 216,  |",,+91 96111-32736,,rcfexports@gmail.com,
153. MG PLANTATIONS LLP,MALLESHWARA D ESTATE KAIMARA POST KAIMARA AGP CHIKMAGALUR KARNATAKA-577101  |,,+91 9964044114/+91 9606709192,,harsha.s@mgplantations.com,
154. RISH INTERNATIONAL,"KANDANOOR KULLAMUDAYANOOR - PO, MECHERI - VIA METTUR- TK SALEM - DT, TAMIL NADU- 636453 |  |",,9488930876,,rucichekkuoil@gmail.com,
155. MISTYCOORG VENTURES (OPC) PRIVATE LIMITED,"159 UDUDOLIRA NANAIAH HOUSE, GALIBEEDU VILLAGE AND POST, MADIKERI, HAVERI, KARNATAKA- 571201",,9482948265 |,,moxiun@gmail.com,
156. AMBUJA IMPEX,"ATHWA ARCADE, SHOP NO. U/12, GROUND, NEAR JAIN TEMPLE, SURAT, GUJARAT 395007  |",,9879594507,,ambujaimpex@gmail.com,
157. AZURETALE PRIVATE LIMITED,"K-3/2, VISHNU MANDIR SOCIETY,BANGUR NAGAR, GOREGAONW, MUMBAI, MUMBAI SUBURBAN, MAHARASHTRA, 400104",,9987773060,,nance@azuretale.com,
158. KANNANGALA KAPPI,"KANNANGALA ESTATE, VONTIANGADI POST VIA AMMATHI SOUTH COORG- 571211",,9845276469,,kcariappa@yahoo.com,
159. JAYA COFFEE WORKS,"MAIN ROAD, NELJI BALLAMAVATY MADIKERI KODAGU- 571214  |",,9741968229,,jayaexport.coffee@gmail.com,
160. DAWN CALORIFIC EXPORTS,"29/13, D.NO7 SWATHI APARTMENTS, JAISHANKAR STREET, WEST MAMBALAM-600033, CHENNAI, TAMILNADU,",,"7358442330,",,petrovpr359@gmail.com,
161. ABDULRAHMAN ALAJEEL PVT LTD,"WAYANAD , KERALA, INDIA 670645  |",+91 9605656501,,,sabinas.a@aalajeel.com,
162. HATTI FOODS AND BEVERAGES PRIVATE LIMITED,"NO. 45/1, S N SQURE,3RD CROSS, ULSOOR ROAD, BANGALORE-  560042  |",,9591999439,,hfbpl.coffee@gmail.com,
163. VIMOKSHA BEVERAGE SOLUTIONS PRIVATE LIMITED,NO 380 42ND CROSSNO 380 42ND CROSS BENGALURU URBAN KARNATAKA 560070,,9886731007,,one@vimoksha.net,
1. CCL PRODUCTS (INDIA) LTD,"7-1-24/2D ""GREENDALE"" AMEERPET, HYDERABAD -500 016, Telangana.","+91 40 2373 2455,",+91 8008556453/ 9490163924/ 9603857722,,"thirumala.rp@continental.coffee, srishant@cclproducts.com,srishant.c@continental.coffee naveen.k@continental.coffee.","+91 40 2373 2499,"
2. TATA COFFEE LTD,"., 57, RAILWAY PARALLEL ROAD,KUMARA PARK WEST, BANGALORE -560 020. KARNATAKA.",,9538273111/9036124894,,"Anantharam.s@tatacoffee.com, Naresh.Manda@tatacoffee.com",
3. INDUS COFFEE PRIVATE LIMITED,"PLOT NO.84, BHEL ENCLAVE, AKBAR ROAD, SECUNDERABAD-500 009,",,+91 9700433308,,"logistics@induscoffee.in, jagadeesh@induscoffee.in",
4. S.L.N. COFFEE PVT.LTD,. P B NO 47P.B.NO 47 KIADB INDUSTRIAL AREA KUDLUR KUSHALNAGAR 571 234 KARNATAKA,,9483835072/ 9886686163,,dileepkumar@slncoffee.com/ mahendra@slncoffee.com,
5. VAYHAN COFFEE LIMITED,Sy no:141 Garlamadugu village Pedavegi mandal Eluru district 534450  |,,+91 9490755815,,"sales@vayhan.in, kvk@vayhan.in",
6. VIDYA HERBS PRIVATE LIMITED,"NO.30, 33RD MAIN, 16TH CROSS,J.P. NAGAR, 6TH PHASE, BANGALORE-560 078, KARNATAKA",+91 80 26531133/26493087,9902021298,,info@vidyaherbs.com,
7. SRI NARASU'S COFFEE COMPANY PVT LTD,"., 16, COURT ROAD, JOHNSONPET, SALEM - 636 007, TAMILNADU. |  |",,9442700910/9944511116,,info@narasusexports.com,
8. NESTLE INDIA LTD,"., 100/101, World Trade Center, Barakhamba Lane, New Delhi - 110 001.",,9811558926/77988 81838/80101 59393,,Kavita.Kukreja@in.nestle.com/ vipul.virmani@in.nestle.com/kartik.arora@in.nestle.com,
9. CHIKOFF TRADING PRIVATE LIMITED,"5A, Earle Street, Ground Floor, Kolkata 700026  |",,9830937454/971508751194,,"7784750@gmail.com, <hr.chikoff@gmail.com",
10. BM FOODS,"A-302, PINEWOODS, VASANT GARDEN, MULUND (W), OFF LBS MARG, MUMBAI-400 080, MAHARASTRA",+91 22 24229948,+91 9892601983/9820040613,,"info@bmfoods.in, shamika@bmfoods.in",
11. UNILIVER INDIA EXPORTS LIMITED,"UNILIVER HOUSE B D SAWANT MARG CHAKALA ANDHERI (E), MUMBAI-400099  |",,8489913168/9655055222,,swaminathan.venkatesan@unilever.com/ palanimalai.chakaravarthy@unilever.com,
12. MODIGOLD BEVERAGES PRIVATE LIMITED,HNO3 4 37 AND 38 FNO G3 YASHODHA NANDNAM APTS HYDERABAD 500027 TELANGANA  |,,9849009049,,abhishekmodi27@gmail.com,
13. AAKSH BEVERAGES PRIVATE LIMITED,"703 DAMJI SHAMJI BUSINESS GALLERIA, LBS MARG, KANJUR MARG (WEST) MUMBAI-400 078. MAHARASHTRA.",+91 22 25784499,+91 9769940887,,"foods@aaksh.com, exports@aaksh.com","022 40260040,"
14. BLUEBERRY AGRO PRODUCTS PVT LTD,"102 SHARDA CHAMBER102 SHARDA CHAMBER MUMBAI 400009, MAHARASHTRA  |",,7738031457,,gaurar@blueberryagro.com,
15. UNIVERSAL IMPORT EXPORT AND HOSPITALITY PVT LTD,"306, HUBTOWN SOLARIS, 3RD FLOOR, N.S. PHADKE MARG, ANDHERI-EAST MUMBAI-400069  |",,9820700011,,Deepak@universalgroup.co,
16. LAXMI INTERNATIONAL,"501/A, GASPER ENCLAVE, PALI NAKA, OFF.TURNER ROAD,BANDRA WEST, MUMBAI-400050, MAHARASTRA  |",,9821061962,,rajesh@laxmiinternational.net,
17. TEAM UNITED MARKETING PRIVATE LIMITED,"CENTER POINT, 21 HEMANT BASU SARANI, 5TH FLOOR, KOLKATA, WEST BENGAL-700013  |",,9830037190,,Bajajenterprise01@gmail.com,
18. RK AGROEXPORT PRIVATE LIMITED,"198/1, SARAY VALEEY AANSHIK RAMGHAT ROAD ATRAULI-202 280. ALIGARH DIST. UTTAR PRADESH  |",,+91 9540056833,,"gaurav@rkagroexport.com, instantchicory.com",
19. KOSHAMBH MULTITRED PVT. LTD,"301/302, GAMTHI COMPLEX, OPP.BARODA PRODUCTIVITY COUNCIL PRODUCTIVITY ROAD, ALKAPURI, BARODA-390007  |",+91 265 2334401/02/03,,,"kmplexpdoc@koshambh.com, contact@koshambh.com",+91 265 2334405
20. JFK INTERNATIONAL,"Z-13 HAUZ KHAS, NEW DELHI-110 016.","+91 11 2652 0613/4/5,",+91 9953002452,,sanjay@jfk.in,
21. MOTWANI INTERNATIONAL,171 SOLITAIRE CORPORATE PARK171 SOLITAIRE CORPORATE PARK MUMBAI 400093 MAHARASHTRA,,9820055910,,vikas@motwani.co.in,
22. VINTAGE COFFEE PVT. LTD,"., 202, OXFORD PLAZA, No. 9-1-129/1 SD ROAD, SECUNDERBAD-500003 TELANGANA, INDIA.","+91 40 – 40266650,",+91 9949577329,,"Vintage.coffee@yahoo.com, bk@vintagecoffee.in,c.jawahar@vintagecoffee.in","+91 40 27700805,"
23. RAVI FOODS PRIVATE LIMITED,"7-4 112/1 KATTEDAN MADHUBAN COLONY ROAD HYDERABAD, TELENGANA- 500077",,9849163344,,rajender.a@dukesindia.com,
24. DELECTO FOODS PVT LTD,"., 202, OXTEAMTEAMFORD PLAZA, No. 9-1-129/1 SD ROAD, SECUNDERBAD-500003 TELANGANA, INDIA.",+91 40 40266650,9886467903,,"brr@delectofoods.in, c.jawahar@vintagecoffee.in",
25. MATRIX EXPORTS,37 1ST FLOOR 10TH MAIN JAYANAGAR 5TH BLOCK ABOVE PRINT ZONE BANGALORE- 560041  |,,9845013080,,matrix.coffee@gmail.com,
26. INSTANT EXPERTS,FLAT NO 11012FLAT NO 11012 F F ATS ONE HAMLET PLOT NO GH 1 SECTOR 104 NOIDA GAUTAM BUDDHA NAGAR UTTAR PRADESH 201301  |,,9540056833,,Instantexperts.india@gmail.com,
27. STACHIO TRADERS LLP,"D22/1 TTC INDUSTRIAL AREA, MIDC TURBHE, NAVI MUMBAI- 400703  |",,9809006300,,Kashyap@stachio.in,
28. FRESH & HONEST CAFE LIMITED,"4th FLOOR, TOWER 2, TVH BELCIAA TOWERS, BLOCK NO.94, MRC NAGAR MAIN ROAD, MRC NAGAR, CHENNAI-600028, TAMILNADU","+91 44 2462 2595,",,,info@lavazza.co.in,"+91 44 2462 2596,"
29. ONEST LIMITED,"605, 6TH FLOOR, DLH PARK, OPP. MTNL, S.V. ROAD,GOREGAIN WEST, MUMBAI- 400104  |",,8432165555,,pannucal@gmail.com,
30. RAMA EXPORTS,"102, 1ST FLOOR SNEH SADAN 35 D, MAIN AVENUE ROAD SANTACRUZ WEST MUMBAI- 400054",,9820337979,,sripathitr@gmail.com,
31. JFK INTERNATIONAL LIMITED,Z 13 HAUZ KHAS NEW DELHI 110 016Z 13 HAUZ KHAS NEW DELHI 110 016,"+91 11 2652 0613/4/5,",+91 9953002452,,sanjay@jfk.in,
32. OLENASONS INDIA PVT LTD,501 5TH FLOOR501 5TH FLOOR NEW DELHI-110016 NEW DELHI  |,,9845422207,,olenasonsindia@gmail.com,
33. QUIK BEVERAGES AND FOODS PRIVATE LIMITED,"1606 655 2 POONA BANGALORE HIGHWAY SAI SAMRAT NERLE SANGLI, MAHARASTRA- 415406 |  |",,9011389500,,marketing@omsaifoods.com,
34. RAJ EXIM,"NO.3 BALAJI STREET, M.G.M.NAGAR, AVANIYAPURAM BYE PASS ROAD, MADURAI - 625012, TAMIL NADU.  |","+91 74180 53336,+91 74180 53337, +91 78450 63338.","+91 98421 09054, +91 83448 53198",,"rajan@rajexim.com , coffeeindia@rajexim.co.in",
35. AHINSHA CHEMICALS LTD,". 707, N.T. ROAD, NALBARI-781335, ASSAM  | Mobile : 9324004257",,,,ahinshachemicals@gmail.com,
36. ADF TRADING PVT.LTD,". OLD NO 7 NEW NO 15, 6TH CROSS STREET.LAKE AREA, NUNGAMBAKKAM CHENNAI 600 034 TAMILNADU  |",,9444571455,,adftrading@gmail.com,
37. INDUS LIFE SCIENCES PVT. LTD,"., # 24/1, (Old No. 48), SUBRAMANIAM STREET, ABHIRAMAPURAM, CHENNAI-600018, TAMIL NADU  |",+91 44 24994553,"+91 9841071290, 9840328133",,mail@indusgroups.com,"044 43535342,"
38. CHAITHANYAA COFFEE,"""KAMADHENU BUILDING"", # 22/1, OLD NO.563 SAJJAN RAO ROAD, V.V.PURAM, BANGALORE-560 004, KARNATAKA","+91 80 26614566,",+91 94480 58914,,"chcoffee@bgl.vsnl.net.in, chaithanyaacoffee@gmail.com","+91 80 26673795,"
39. PANKAJ EXPORTS PRIVATE LIMITED,"PLOT NO.C-419, TTC INDUSTRIAL AREA, MIDC TURBHE, INDIRA NAGAR,NAVI MUMBAI 400703 MAHARASHTRA  |",,9167480216,,pankajexportspvtltd@gmail.com,
40. VISNUKUMAR TRADERS PVT. LTD,"112B, P.H.ROAD, VELAPPANCHAVADI, CHENNAI -600 077,TAMILANADU  |",044-65715715 |,9840832715  | Email purchase@vtpl.com/vktpl@vsnl.net,,,
41. SUPERSONIC DISTRIBUTION SERVICES PVT LTD,"1501, B-WING, ONE BKC, BANDRA KURLA COMPLEX, BANDRA (EAST), MUMBAI- 400051  |",,9930735859,,Procurement1@supersonicindia.com,
42. JAY KESHAV EXPORTS PVT.LTD,". NO.15B, K.I.A.D.B.INDUSTRIAL AREA, 2ND PHASE, KUBALGODU, BANGALORE-560 074, KARNATAKA  |",,080-28437083/9880884358,,mnk1970@gmail.com,
43. ASIA TEA ENTERPRISES,"11/426, KETTI P.O THE NILGIRIS - 643215 KETTI P O THE NILGRIS, THE NILGRIS643215 TAMILNADU |  |",,9443933334,,venkateshraj@gmail.com,
44. KRISH BAKERS CONFECTIONERS PRIVATE LIMITED,"PLOT NO. E6, JNPT SEZ, SECTOR 7, URAN, RAIGARH,NAVI MUMBAI, RAIGAD MAHARASHTRA- 400706  |",,9930929750,,docssez@krishfoods.com,
45. AARTHTHI EXPORTS,"NO 1/18 SRIVARI BUILDING, CHETTIMEDU - KOSAPUR ROAD, VADAPERUMBAKKAM, CHENNAI 600060, TAMIL NADU INDIA",,-9841019922,,aarththiexports@gmail.com,
46. INDAFRO IMPEX,"XII/25, Mattaka, KALAMASSERY - 683 501 ERNAKULAM DISTRICT, KERALA,","+91 99954 99429, +91 80 45352467",,,indafroimpex@gmail.com,
47. GOLDEN SPENCER TRADING,"VI/130-B,OKKAL GRAMA PANCHAYATH, KOOVAPPADY PO,ERNAKULAM, KERALA-683544  |",,9747063582,,golden.spencer@hotmail.com,
48. M/S R V INDUSTRIES,"HOUSE NO. 4, KHASRA NO. 13/012,002 RAILWAY ROAD, SAMAIPUR DELHI WEST DELHI 110042",,9911415979 |,,products.rv@gmail.com,
"49. C.B. SHAH CO.,","OFFICE NO. 116-117, ECSTASY BUSINESS PARK, CITY OF JOY, JSD ROAD, MULUND WEST, MUMBAI, MAHARASTRA- 400080 |  |",,9322595381,,Chirag.shah@tweajbeverages.com,
50. OM EXPORT,"CO E-43, HARI OM FLAT JAYAMBE NAGAR ROAD, THALTEJ, AHMADABAD, GUJARAT- 380054  |",,96623222835,,omexportco@gmail.com,
51. BIKASH KUMAR SAH,DARA GAON BARMANDARA GAON BARMAN JALPAIGURI 736182 WEST BENGAL  |,,9434607921,,bikash.products@gmail.com,
52. POPATRAJA EXPORTS,"UNIT NO. 111 A-2 1ST FLOOR SHAH AND NAHAR, INDUSTRIAL ESTATE DHANRAJ MILL COMPOUND, LOWER PAREL WEST MUMBAI- 400013",,9820262199,,Accounts@gutkafoodexports.com,
53. VIMRAJ EXPORTS,19 6 OLD NO 3 619/6 OLD NO.3/6 THIRUVENKATAM STREET MOTHILAL STREET T.NAGAR CHENNAI 600 017 TAMILNADU,,9789067477,,vimrajexportschennai@gmail.com,
54. FALCON INTERNATIONAL,"C/104, PANKAJ KAMAL APARTMENT, SHANKAR LANE- 400067",,9820122277,,falcon@falconcutlery.com,
"55. WILSON ENTERPRISES,","NO. 85/129,LLOYDS ROAD,	ROYAPETTAH, CHENNAI-600 014.TAMILNADU",,044-28111553/9382111130,,wilsonimpex@yahoo.in,
56. QUALITY EXPORTS,"# 1/161-B, 1ST MAIN ROAD, V.G.P. LAYOUT, PALAVAKKAM, CHENNAI-600 041TAMILNADU  |",044-24513982,,,qualityexports3@yahoo.co.in,
57. MOHAN MUTHA EXPORTS PVT LTD,Second And Third Floor New No 20 Old No 7 1 Th Lattice Waddels Road Kilpauk Chennai Tamil Nadu 600010  |,+ 91 44 43444671,,,mutha@nnexoirts.com,
58. P.S.TEA INDUSTRIES,21 MOUNT PLEASANT COONOOR TAMIL NADU 643102,,9843023942,,sidhgiri@sancharnet.in,
59. JAYACO,"# 451,KUNDRATHUR MAIN ROAD, GERUGAMBAKKAM, CHENNAI-600 128 TAMILNADU  |",044-23820023/23820187,,,jayaco@dataone.in,
60. EASTERN CONDIMENTS PVT. LTD,"., P.B.NO:15, EASTERN VALLEY ADIMALI-685561, IDUKKI DISTRICT, KERALA  |",91-04864-222206/222050,,,contactus@eastern.in,
61. INNOVATIVE CUISINE PRIVATE LIMITED,"BLOCK NO. 512 OPP COSMO FILMS, KARJAN VEMARDI ROAD,VILLAGE KANDARI VADODARA, GUJARAT  |",,9574007924,,innovativecuisine@gmail.com,
62. ANNAI ENTERPRISES,"NO 146, KTP ROAD, GOMATHY PURAM, THIRUNINRAVUR THIRUVALLUR, TMILNADU- 602024  |",,9884300661,,annaiexports2015@gmail.com,
63. NAVEENA QUALITY FOODS PVT LTD,". NO.8-3-677/59/2A, PLOT NO.24, FLAT 201, NAAVODAYA COLONY HYDERABAD-500073, TELANGANA  |",,9912230286,,ramesh@naveenafoods.com,
64. KEVAL EXPORTS PVT. LTD,".., 401, 4th Floor, The Ambience Court,Plot No. 02, Sector-19D, Opp.APMC Grain Market, Vashi, Navi Mumbai – 400 703.",+91 22 4123 3030 / 2783 2795,"+91 9819882341, 9819713281",,"keval.exports@yahoo.com, tejaskeval@gmail.com",+91 2783 2796
65. EVERSHINE SERVICES,"NO 22 IST FLOOR, CHENNAI 600031 TAMIL NADU |  |",,9500080181,,info.evershineservices@gmail.com,
66. UDAAN  INTERNATIONAL,SHOP NO 2 MARUTI CO OP SOCIETYSHOP NO 2 MARUTI CO OP SOCIETY AHMEDABAD 380061 GUJARAT,,9825609080 |,,udaanintg@gmail.com,
67. FINESS MARKET LINK PRIVATE LIMITED,"TC-9/328(5), LA-4, JAWAHAR NAGAR, THIRUVANANTHAPURAM, KERALA- 695003  |",,9995945885,,sajjadsait@thenessegroup.com,
68. SILVER EXIM,VII 427 MVII 427-M CENTRE TOWER P O PARAPPUR THRISSUR 680 552 KERALA  |,,9446231274,,justinsilvercafe@gmail.com,
69. SUVAI FOODS,NO. 48/39 WAVOD MANSION RAJAJI SALAI CHENNAI- 600001  |,,9003876660,,admin@suvaifoods.com,
70. SABEE EXPORTS,"NO.3-6-4, SOUTH STREET,AYYAPURAM, ANNAIKULAM V.K.PUDUR, TIRUNELVELI DISTRICT-627859",,9962048369,,sabeeexports@gmail.com,
71. ACE EXPORT,"6TH FLOOR, E-601, CYPRESS CHS, SWAPNA NAGARI, VASANT FARDEN ROAD, MULUND WEST,",,9619198998,,Info@aceexports.co.in,
72. ABHAYA EXPORTS PVT. LTD,"C-141, T.T.C. Industrial Area,MIDC Pawane, Navi Mumbai 400 710 (INDIA)  |",,+91 9987067755,,bipinmehta53@gmail.com,
73. NIMA ENTERPRISES PVT LTD,OFFICE NO 268 CFS BUILDING NO1 NAVI MUMBAI 400705 MAHARASHTRA  |,,9930258280,,sales@nimaenterprises.com,
74. AAYU IMPEX,SHOP NO 1 MUMBAI 400 004 MAHARASTRA,,9820281665,,aayuimpex@gmail.com,
75. THE BLUE LAGOON,"AD40, FOURTH AVENUE, SHANTHI COLONY, ANNA NAGAR CHENNAI TAMILNADU- 600040  |",,9884414157,,Thebluelagoon08@gmail.com,
76. SDPMART INDIA PRIVATE LIMITED,"NO.1/3, 1/4, SRI RAM GARDEN, NEAR NGP COLLEGE, KALAPATTI, COIMBATORE – 641048",,9444295315/9080566640,,baalajicargo@gmail.com,
77. C ARUNKUMAR AND CO EXPORTS,"PLOT NO. D-6/2, TTC INDUSTRIAL AREA, MIDC, TURBHE, NAVI MUMBAI - 400703. MAHARASHTRA",,9820094763,,carun@vsnl.com,
78. METRO INDUSTRIES,"6375/43, RABARI VAS, BUNGLOW AREA, KUBERNAGAR, AHMEDABAD- 382340",,7878701378,,exports.metroind@gmail.com,
79. GRANDMAS FOOD PRODUCTS,"JACOBS TOWER, P.B.NO.31, P.O.JUNCTION, MUVATTUPUZHA ERNAKULAM DIST – 686 661,KERALA  |","0485-2834730,",,,grandmas@vsnl.com,
80. K J ENTERPRISES,439 16 GUJARAT ESTAT NEAR MAHALAXMI ESTAT SANAND ROAD AHMEDABAD 382 210 GUJARAT  |,,9998572469,,kj.enterprises@hotmail.com,
81. ADARSH AGENCIES,"G3G, 115/116 Veena Chambers, 4th Cross Lane, Clive Road, Masjid Bunder (East) Mumbai 400009.  |",91.98210798,,,info@adags.com,
82. DISHA FOODS PRIVATE LIMITED,"PLOT NO. 82, IDA, KATTEDAN HYDERABAD, RANGADEDDI, TELANGANA- 500077  |",,9949299996,,Satish.gupta@sweetworld.co.in,
83. EMINENCE INTERNATIONAL,"FIRST FLOOR, NO 27/32, RAJAJI ROAD, SRINIVASAPURAM- 613009",,9790030633,,eminence.inational@gmail.com,
84. M H FOODS PVT LTD,377 SAILOR BUILDING FLORA FOUNTAING MUMBAI- 400001,,7045559993 |,,exim@mhfoods.in,
85. MERAKI PRODUCTS AND SERVICES PRIVATE LIMITED,"PLOT NO.79, SECTOR-56,GURUGRAM, Gurgaon, Haryana, 122011",91.9821079808 |,,,aaloke.saxena@gmail.com,
86. UTHRA EXPORTS,"D-38, 5th CROSS, NORTH EAST EXTN, THILLAINAGAR, TRICHY-620 018 TAMILNADU",,+91 9994381630,,karthik762001@yahoo.com,
87. ADHIK RANGOLI FOOD EXIM PRIVATE LIMITED,"GAT NO. 158, TELEGAON CHAKAN ROAD, AT. POST. KHALUMBRE, TAL KHED, PUNE, MAHARASHTRA- 410501",,9850911189,,info@arfood.in,
88. TATA CONSUMER PRODUCTS LIMITED,1 BISHOP LEFROY ROAD KOLKATA-700020  |,,7845520509,,sundar.perunarkilli@tataconsumer.com,
89. FAIR GIFT,"No: 1 , 8th Street Nagammai Nagar Avadi Chennai - 600 109",,98414309831,,FAIRGIFT@hotmail.com,
90. ZAMCO FOODS,"12/1, ZAM ZAM SWEETS TPK ROAD, MADURAI- 625001",,9597777979,,Admin@zamcofoods.com,
91. DEVJEE IMPEX,"Plot No.162, Ruda Transport Nagar,Near ""GATI"" courier, Navagam, RAJKOT-360003  |",,9879871637,,devjeeimpex@yahoo.in,
92. KOTA RECIPES,"NO.14, LALBAGH ROAD BANGALORE 560 027, KARNATAKA",080-22230471 |,9880801952,,mtrhotels@gmail.com,
93. OMSHAKTHI IMPEX PRIVATE LIMITED,NO 6 ANTHRASANAHALLINO 6 ANTHRASANAHALLI INDL. AREA 2ND PHASE SIRA ROAD. TUMKUR 572 106,,9986037527,,omshakthiimpex@yahoo.co.in,
94. KAMALA INTERNATIONA EXIM PVT LTD,7-4 KATTEDAN MADHUBAN COLONY ROAD HYDERABAD TELANGANA- 500077  |,,9000808080,,ankit@dukesindia.com,
95. NAGAJOTHI EXPORTS,"16/26, NILLANNA LANE, ROYAPETTAH, CHENNAI TAMILNADU- 600014  |",,9940012873,,nagajothiexports@yahoo.com,
96. PREMIER EXPORTS,EKAMBARAM INDUSTRIAL ESTATE MADURVOYAL CHENNAI- 600095  |,,9025837385,,attul.premierexports34@gmail.com,
97. KAKKUZHIYIL TRADERS,"MP/3/329-B, KAKKUZHIL BUILDING, THINAPURAM, MOOPAINAD, WAYANAD, KERALA- 673577  |",,9947173444,,sureshkakkuzhiyil@gmail.com,
98. VIGNESH SUPER STORES,NO113 215 TRIPLICANENO HIGH ROAD TRIPLICANE CHENNAI 600005,,9789002664,,vigneshsuperstores@gmail.com,
99. GLOBAL EXPORTERS,108 A KOOLIMUTTAM POST MATHILAKAM THRISSUR 680 691  |,,8594027813,,royalfood@yahoo.com,
